probe,availability
35540,0.718070009460738
35237,0.926984126984127
35543,0.9971181556195965
35232,0.9208519589797528
35233,0.9942922374429224
35230,0.9882160392798691
35231,0.9244365885992046
24029,0.38572273713271543
24010,0.9601181683899557
13356,0.9848981454590715
19719,0.8384492909245751
35239,0.9985685657028343
11542,1
28994,0.5697268106734434
11540,0.6779449302123499
11541,0.7720810647307925
11546,0.9852902776568891
11547,0.9203021718602455
13358,0.9945044812451591
11548,0.938265306122449
28999,0.3522302939778668
28998,0.9327110073901206
19927,0.9744208858371689
31695,0.9768446799836934
19397,0.7850846457418951
19396,0.9589469161360884
19395,0.9935086489875705
35547,0.9798639455782313
19393,0.9826276187665978
19391,0.9711556194902438
19390,0.946197163986702
22261,0.17438542581211589
22260,0.9452469986223184
22265,0.8676304919263989
19712,0.8413402692778458
22268,0.9985842111224374
19711,0.7539130999545366
25060,0.9847690795938421
19710,0.9371706689191907
25066,0.9951737451737451
25067,0.987826925394721
33437,0.7930482506288589
21092,0.5885093167701864
35637,1
19716,0.2428350116189001
12387,0.3180177543654278
19714,0.7815070261498175
28995,0.7778100493755445
27372,1
24940,0.6946564885496184
27375,0.5234505862646566
27376,0.8954824492365812
21091,0.15235294117647058
27379,0.7782645918315959
28560,1.0
26198,1
26721,0.43093491493678787
28722,0.999322768522281
28991,0.9040720676851908
18362,0.8114272460182465
30708,0.9493499739989599
28476,0.9112265512265513
25284,0.842094455852156
28992,0.9269340974212035
25283,0.9992949589565393
25280,0.985999899279851
25281,0.928405430749786
270,0.988653683319221
19972,0.7964445100136466
19971,0.9940618891306753
273,0.9691388444006406
274,0.9660679378895732
16256,0.5869509091579685
19975,0.7872976063143141
277,0.8282004942278611
279,0.9901240238860818
16259,0.7676338759141307
16258,0.8735650638195392
16701,0.99498395603585
16700,1
16703,0.7900130342936761
16702,0.9626601253747615
22485,0.9915653539642837
22484,0.9574742743333456
22487,0.9953253552729993
12018,0.5509534171799506
28562,0.9548270131439794
22482,0.6541920247070578
12015,0.9946151292737802
12014,0.554973628886512
12017,0.9942092062555326
12016,0.9541917161509239
22488,0.9288306302303192
12012,0.9579168664478295
26395,0.6098014281522058
26397,0.9986866791744841
26396,1
26392,0.8917499576486533
17250,0.7423376240179987
17251,0.6721336370539104
17252,0.8473402581051306
17253,0.32482542740187814
17254,0.3516215273741718
